State	District
Andaman and Nicobar Islands	Nicobar
Andaman and Nicobar Islands	North and Middle Andaman
Andaman and Nicobar Islands	South Andaman
Andhra Pradesh	Anantapur
Andhra Pradesh	Chittoor
Andhra Pradesh	East Godavari
Andhra Pradesh	Guntur
Andhra Pradesh	Krishna
Andhra Pradesh	Kurnool
Andhra Pradesh	Prakasam
Andhra Pradesh	Srikakulam
Andhra Pradesh	Sri Potti Sriramulu Nellore
Andhra Pradesh	Visakhapatnam
Andhra Pradesh	Vizianagaram
Andhra Pradesh	West Godavari
Andhra Pradesh	YSR District, Kadapa (Cuddapah)
Arunachal Pradesh	Anjaw
Arunachal Pradesh	Changlang
Arunachal Pradesh	Dibang Valley
Arunachal Pradesh	East Kameng
Arunachal Pradesh	East Siang
Arunachal Pradesh	Kamle
Arunachal Pradesh	Kra Daadi
Arunachal Pradesh	Kurung Kumey
Arunachal Pradesh	Lepa Rada
Arunachal Pradesh	Lohit
Arunachal Pradesh	Longding
Arunachal Pradesh	Lower Dibang Valley
Arunachal Pradesh	Lower Siang
Arunachal Pradesh	Lower Subansiri
Arunachal Pradesh	Namsai
Arunachal Pradesh	Pakke Kessang
Arunachal Pradesh	Papum Pare
Arunachal Pradesh	Shi Yomi
Arunachal Pradesh	Siang
Arunachal Pradesh	Tawang
Arunachal Pradesh	Tirap
Arunachal Pradesh	Upper Siang
Arunachal Pradesh	Upper Subansiri
Arunachal Pradesh	West Kameng
Arunachal Pradesh	West Siang
Assam	Baksa
Assam	Barpeta
Assam	Biswanath
Assam	Bongaigaon
Assam	Cachar
Assam	Charaideo
Assam	Chirang
Assam	Darrang
Assam	Dhemaji
Assam	Dhubri
Assam	Dibrugarh
Assam	North Cachar Hills
Assam	Goalpara
Assam	Golaghat
Assam	Hailakandi
Assam	Hojai
Assam	Jorhat
Assam	Kamrup
Assam	Kamrup Metropolitan
Assam	Karbi Anglong
Assam	Karimganj
Assam	Kokrajhar
Assam	Lakhimpur
Assam	Majuli
Assam	Morigaon
Assam	Nagaon
Assam	Nalbari
Assam	Sivasagar
Assam	Sonitpur
Assam	South Salamara-Mankachar
Assam	Tinsukia
Assam	Udalguri
Assam	West Karbi Anglong
Bihar	Araria
Bihar	Arwal
Bihar	Aurangabad
Bihar	Banka
Bihar	Begusarai
Bihar	Bhagalpur
Bihar	Bhojpur
Bihar	Buxar
Bihar	Darbhanga
Bihar	Motihari
Bihar	Gaya
Bihar	Gopalganj
Bihar	Jamui
